"","Model","MAE_GAM","MAE_Spline","MAE_lm","MAE_poly_12","MAE_ploy_23"
"71","pt46OPEN.rds",0.135088460852005,0.935825605681012,0.928607549068192,0.218086735059258,0.177946337961274
"72","pt47CLOSED.rds",0.114115053300203,0.695475149514329,0.582748022965331,0.158286282177131,0.136580226312118
"73","pt47OPEN.rds",0.400050518286943,0.698822437079047,0.682161981813705,0.46866531143202,0.429096014367479
"74","pt48CLOSED.rds",0.0831947121361928,0.869390245584903,0.591504411010582,0.168865016567419,0.128898260965053
"75","pt48OPEN.rds",0.282282847911282,0.965052831405365,0.789259073576141,0.367142743207348,0.288065957448274
"76","pt50OPEN.rds",0.451004539766901,0.965443414985773,0.924865024302759,0.560524919617609,0.46229032511518
"77","pt51CLOSED.rds",0.402624613866363,0.99955363755139,0.976103429159907,0.426440521850319,0.364314322986811
"78","pt51OPEN.rds",0.27128439093183,1.5301032320012,1.43717673312987,0.395891562560524,0.306436879343645
"79","pt52CLOSED.rds",0.262946732336614,1.09038697186011,0.959089218503577,0.38349262944018,0.318232752224921
"80","pt52OPEN.rds",0.325448787727327,1.37783897707609,1.3049278508511,0.545154519830606,0.336804583060234
"81","pt53CLOSED.rds",0.490673832331176,1.03070446603858,0.846407501535594,0.58376957473379,0.500317024762965
"82","pt53OPEN.rds",0.18128195277392,1.02468479195065,0.800826579668756,0.278486019236136,0.208813617634599
"83","pt54CLOSED.rds",0.108669006074159,0.665764865996514,0.648144395356759,0.168634344083119,0.142243911888231
"84","pt54OPEN.rds",0.600513589497681,0.816418649027857,0.787697383910643,0.660130875997297,0.624810915382876
"85","pt55CLOSED.rds",0.227444863563924,0.813953751690554,0.698112890597932,0.356259750676145,0.299791111489985
"86","pt55OPEN.rds",0.25963010877048,0.899503835371579,0.831910155885957,0.390207729814719,0.302843574559247
"87","pt56OPEN.rds",0.213610269896328,0.950273121806194,0.854918928422022,0.324034687197619,0.264900179031469
"88","pt57CLOSED.rds",0.483330857864823,1.10256253910295,0.921481096400879,0.494448748215385,0.398035536919861
"89","pt57OPEN.rds",0.211597827159582,1.07824184315228,0.876014755247476,0.301678899238145,0.247176433455762
"90","pt58CLOSED.rds",0.147391385980277,0.661175065909592,0.634871702160351,0.22776444029142,0.204140001038538
"91","pt58OPEN.rds",0.231380240474792,1.09776086198366,1.03859271048523,0.3659046001968,0.315688431483931
"92","pt59OPEN.rds",0.370566543712964,0.995382814445355,0.868705033396408,0.447041949172475,0.39232900762908
"93","pt60OPEN.rds",0.410580493207141,1.04468481087476,0.992426173200062,0.463463308137452,0.408159943178141
"94","pt61OPEN.rds",0.359388092287763,1.12424370077142,1.02749024895176,0.471464253518892,0.413517315035217
